p_id,name,products,price,colour,brand,img,ratingCount,avg_rating,description,p_attributes
18202160,POONAM DESIGNER Women Red Yoke Design Kurti with Trousers,"Kurti, Trousers",2499.0,Red,POONAM DESIGNER,http://assets.myntassets.com/assets/images/18202160/2022/5/9/9677d0a5-387b-40f3-80b4-1701239b3ac81652097227106POONAMDESIGNERWomenRedYokeDesignKurtiwithTrousers1.jpg,7.0,3.7142857142857135,"Red yoke design Kurti with Trousers <br> <br> <b> Kurti design:  </b> <ul> <li> Yoke design </li> <li> Straight shape </li> <li> Regular style </li> <li> Round neck,  three-quarter regular sleeves </li> <li> Calf length with straight hem </li> <li> Silk blend machine weave fabric </li> </ul> <br> <b> Trousers design:  </b> <ul> <li> Solid Trousers </li> <li> Partially elasticated waistband </li> <li> Slip-on closure </li> </ul><p>Wash Care :- Dry Clean</p>The model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Silk Blend', 'Bottom Pattern': 'Solid', 'Bottom Type': 'Trousers', 'Character': 'NA', 'Dupatta': 'NA', 'Dupatta Border': 'NA', 'Dupatta Fabric': 'NA', 'Dupatta Pattern': 'NA', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'NA', 'Pattern Coverage': 'Yoke or Border', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Silk Blend', 'Top Hemline': 'Straight', 'Top Length': 'Calf Length', 'Top Pattern': 'Yoke Design', 'Top Shape': 'Straight', 'Top Type': 'Kurti', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Dry Clean', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Wedding': 'NA'}"
5389041,STREET 9 Women White & Black Checked Culotte Jumpsuit,Culotte Jumpsuit,1899.0,White,STREET 9,http://assets.myntassets.com/assets/images/5389041/2018/4/20/11524219473683-STREET-9-White--Black-Checked-Culotte-Jumpsuit-511524219473492-1.jpg,105.0,4.171428571428572,"White and black checked culotte jumpsuit with waist tie-up detail, has a shoulder straps, sleevelessCotton <br> Machine-washThe model (height 5'8'') is wearing a size S","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Fabric': 'Cotton', 'Neck': 'Shoulder Straps', 'Number of Pockets': '2', 'Pattern': 'Checked', 'Sleeve Length': 'Sleeveless', 'Surface Styling': 'NA', 'Type': 'Culotte Jumpsuit', 'Wash Care': 'Machine Wash'}"
13975624,Vishudh Women Off-White Checked Kurta with Palazzo and Dupatta,"Kurta, Palazzo, Dupatta",2549.0,Off White,Vishudh,http://assets.myntassets.com/assets/images/productimage/2021/3/26/b329d1f5-b0d4-480a-9bcf-7bc3e328790e1616762968983-1.jpg,14.0,2.857142857142857,"<p>Length 88 width 40(inches)</p><p>Cotton Machine wash</p>The model (height 5'8"") is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Zip', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Tassels', 'Dupatta Fabric': 'Pure Cotton', 'Dupatta Pattern': 'Printed', 'Main Trend': 'NA', 'Neck': 'Mandarin Collar', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'NA', 'Pattern Coverage': 'None', 'Print or Pattern Type': 'Checked', 'Sleeve Length': 'Short Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Multiple Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Straight', 'Top Length': 'Calf Length', 'Top Pattern': 'Self Design', 'Top Shape': 'Straight', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
17156552,MALHAAR Pink Floral Printed Cambric Pleated Kurti,Kurti,1349.0,Pink,MALHAAR,http://assets.myntassets.com/assets/images/17156552/2022/3/2/4a519431-a871-45b4-8b9d-6407aff3e7ca1646217477684MALHAARWomenCambricPrintedShortKurti1.jpg,6.0,4.166666666666667,"<ul> <li> Pink a-line kurti </li> <li> Floral printed </li> <li> Mandarin collar,  three-quarter,  regular sleeves </li> <li> Machine weave regular pure cotton </li> </ul>Cambric&nbsp;<br>Hand WashThe model (height 5'8) is wearing a size S","{'Care for me': 'Wash in cold water to avoid shrinkage<br>\r\nLine-dry in shade to avoid yellowing<br>\r\nFor whites, wash with non-chlorine bleach on a hot water setting<br>\r\nIron when slightly damp', 'Design Styling': 'Pleated', 'Fabric': 'Cotton Blend', 'Hemline': 'Flared', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'NA', 'Pattern': 'Printed', 'Print or Pattern Type': 'Ethnic Motifs', 'Shape': 'A-Line', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'NA', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
12289858,Laado - Pamper Yourself Women Black Solid Straight Palazzos,Palazzos,1750.0,Black,Laado - Pamper Yourself,http://assets.myntassets.com/assets/images/12289858/2020/9/4/6ea447cc-5729-40d0-b997-b00456d4f2191599208861635-Laado---Pamper-Yourself-Women-Palazzos-8611599208859842-1.jpg,8.0,4.375,"A pair of Black solid woven straight fit Palazzos with lace inserts and pintuck detail, opaque, and drawstring closure<br><b>Disclaimer: </b>The lace design on the garment may vary from the one displayed in the image.Material: Cotton<br>  Hand WashThe model (height 5'8"") is wearing a size 34","{'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Closure': 'Drawstring', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fit': 'Straight', 'Length': 'Regular', 'Main Trend': 'NA', 'Multipack Set': 'Single', 'Number of Pockets': 'NA', 'Occasion': 'Ethnic', 'Pattern': 'Solid', 'Print or Pattern Type': 'Solid', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Hand Wash', 'Weave Type': 'Woven'}"
18165350,Indo Era Women Pink Ethnic Motifs Embroidered Kurta with Trousers & Dupatta,"Kurta, Trousers, Dupatta",5999.0,Pink,Indo Era,http://assets.myntassets.com/assets/images/18165350/2022/6/1/75b8bd49-918a-4e97-a46b-b65384f064761654078529049-Indo-Era-Pink-Floral-Embroidered-Straight-Kurta-Trouser-With-1.jpg,37.0,4.216216216216216,"Pink embroidered Kurta with Trousers with dupatta<br><br><b>Kurta design: </b><ul><li>Ethnic motifs embroidered</li><li>Straight shape</li><li>Regular style</li><li>Round neck, three-quarter regular sleeves</li><li>Calf length with straight hem</li><li>Cotton blend machine weave fabric</li></ul><br><b>Trousers design: </b><ul><li>Solid Trousers</li><li>Partially elasticated waistband</li><li>Slip-on closure</li><li>1 pockets</li></ul>Dupatta Lenght : 2.3m, Dupatta Width : 85 cm<br><br>Size worn by the model: S<br>Chest: 32""<br>Waist: 28""<br>Hips: 33""<br>Height: 5'7""<br>Cotton Blend<br>Organza&nbsp;<br>Machine Wash<br>","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Cotton Blend', 'Bottom Pattern': 'Solid', 'Bottom Type': 'Trousers', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Taping', 'Dupatta Fabric': 'Organza', 'Dupatta Pattern': 'Embroidered', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': '1', 'Occasion': 'Festive', 'Ornamentation': 'NA', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Ethnic Motifs', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Cotton Blend', 'Top Hemline': 'Straight', 'Top Length': 'Calf Length', 'Top Pattern': 'Embroidered', 'Top Shape': 'Straight', 'Top Type': 'Kurta', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Wedding': 'Bride & Wedding Squad'}"
13710492,Roadster Women Blue Straight Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Jeans,2099.0,Blue,Roadster,http://assets.myntassets.com/assets/images/13710492/2022/5/25/f745a695-8525-4c11-9755-47f7e4653baf1653468769045-Roadster-Women-Blue-Straight-Fit-Mid-Rise-Clean-Look-Stretch-1.jpg,260.0,4.465384615384616,"Blue medium wash 4-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loopsStraight Fit<br>Stretchable<br>The model (height 5'8"") is wearing a size 2899% Cotton and 1% elastane<br>Machine-wash","{'Add-Ons': 'NA', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Brand Fit Name': 'NA', 'Character': 'NA', 'Closure': 'Button and Zip', 'Distress': 'Clean Look', 'Effects': 'None', 'Fabric': 'Cotton', 'Fabric 2': 'Elastane', 'Fabric 3': 'NA', 'Fade': 'Light Fade', 'Features': 'NA', 'Fit': 'Straight Fit', 'Length': 'Cropped', 'Main Trend': 'NA', 'Number of Pockets': '4', 'Occasion': 'Casual', 'Reversible': 'No', 'Shade': 'Medium', 'Stretch': 'Stretchable', 'Sustainable': 'Regular', 'Type of Distress': 'NA', 'Waist Rise': 'Mid-Rise', 'Waistband': 'With belt loops', 'Wash Care': 'Machine Wash'}"
16858486,Vishudh Women Red Embroidered Pure Cotton Kurta with Trousers,"Kurta, Trousers",2399.0,Red,Vishudh,http://assets.myntassets.com/assets/images/16858486/2022/1/18/47d7f9b1-e19c-4757-865b-b1551323b08a1642479737447VishudhWomenRedEmbroideredPanelledPureCottonKurtiwithTrouser1.jpg,25.0,3.56,"Red striped Kurta with Trousers <br> <br> <b> Kurta design:  </b> <ul> <li> Solid striped </li> <li> Straight shape </li> <li> Panelled style </li> <li> Round neck,  three-quarter regular sleeves </li> <li> Mirror work detail </li> <li> Calf length with straight hem </li> <li> Pure cotton machine weave fabric </li> </ul> <br> <b> Trousers design:  </b> <ul> <li> Striped Trousers </li> <li> Elasticated waistband </li> <li> Hook and eye closure </li> </ul>Pure Cotton<br>Machine washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Hook and Eye', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Striped', 'Bottom Type': 'Trousers', 'Character': 'NA', 'Dupatta': 'NA', 'Dupatta Border': 'NA', 'Dupatta Fabric': 'NA', 'Dupatta Pattern': 'NA', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Mirror Work', 'Pattern Coverage': 'Yoke or Border', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Panelled', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Straight', 'Top Length': 'Calf Length', 'Top Pattern': 'Striped', 'Top Shape': 'Straight', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Wedding': 'NA'}"
15268838,Varanga Women Maroon & Beige Ethnic Motifs Printed Thread Work Kurta,Kurta,3299.0,Maroon,Varanga,http://assets.myntassets.com/assets/images/15268838/2021/8/26/ae0a421a-f8da-4e02-a59b-1f8de2ec455a1629972003993Kurtas1.jpg,225.0,4.266666666666667,"<ul> <li> Colour: maroon and beige </li> <li> Ethnic motifs printed </li> <li> Round neck </li> <li> Three-quarter,  regular sleeves </li> <li> Straight shape with regular style </li> <li> Thread work detail </li> <li> Calf length with curved hem </li> <li> Machine weave regular cotton </li> </ul>Cotton <br> Hand wash<br> The model (height 5'8) is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Colour Family': 'Earthy', 'Design Styling': 'Regular', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fabric Purity': 'Pure', 'Hemline': 'Curved', 'Length': 'Calf Length', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Thread Work', 'Pattern': 'Printed', 'Print or Pattern Type': 'Ethnic Motifs', 'Shape': 'Straight', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Hand Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
13417568,Harpa Women Pink Striped Fitted Top,Top,1199.0,Pink,Harpa,http://assets.myntassets.com/assets/images/productimage/2021/1/12/6935a991-ace3-48ba-b1d1-def8331190601610445457928-1.jpg,163.0,4.190184049079755,"Pink striped knitted fitted  top, has a V-neck, and long sleevesMaterial: Viscose Rayon<br>  Hand WashFitted<br> The model (height 5'8"") is wearing a size S","{'Body Shape ID': '324,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Center Front Open': 'No', 'Closure': 'NA', 'Fabric': 'Viscose Rayon', 'Fabric Type': 'NA', 'Length': 'Regular', 'Lining': 'NA', 'Main Trend': 'New Basics', 'Neck': 'V-Neck', 'Occasion': 'Casual', 'Pattern': 'Striped', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Surface Styling': 'NA', 'Sustainable': 'Regular', 'Transparency': 'Opaque', 'Type': 'Fitted', 'Wash Care': 'Hand Wash', 'Weave Type': 'Knitted', 'taxMaterial': 'NA'}"
